plot,plotpasture,pasture,water.yr,wyr.ppt,f.ppt,cs.ppt,gs.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.wyr,lag2.f,lag2.cs,lag2.gs
5,5_17N,17N,2014,439.2243065,181.7382957,76.2,181.2860108,274.1413183,74.33610981,26.416,173.3892085,201.5628374,81.66962255,101.6052148,101.6052148
5,5_17N,17N,2015,380.5932342,72.49745146,60.198,247.8977827,439.2243065,181.7382957,76.2,181.2860108,274.1413183,74.33610981,173.3892085,173.3892085
5,5_17N,17N,2016,240.9832082,60.36709599,71.374,109.2421122,380.5932342,72.49745146,60.198,247.8977827,439.2243065,181.7382957,181.2860108,181.2860108
5,5_17N,17N,2017,313.6483653,68.45567425,55.88,189.3126911,240.9832082,60.36709599,71.374,109.2421122,380.5932342,72.49745146,247.8977827,247.8977827
5,5_17N,17N,2018,318.4828359,81.04021332,53.34,184.1026226,313.6483653,68.45567425,55.88,189.3126911,240.9832082,60.36709599,109.2421122,109.2421122
5,5_17N,17N,2019,349.2060368,20.11841827,77.54225912,251.5453594,318.4828359,81.04021332,53.34,184.1026226,313.6483653,68.45567425,189.3126911,189.3126911
5,5_17N,17N,2020,289.5896549,36.67776688,81.1920091,171.719879,349.2060368,20.11841827,77.54225912,251.5453594,318.4828359,81.04021332,184.1026226,184.1026226
5,5_17N,17N,2021,403.3695782,25.39846238,113.0470437,264.9240721,289.5896549,36.67776688,81.1920091,171.719879,349.2060368,20.11841827,251.5453594,251.5453594
5,5_17N,17N,2022,287.3095806,38.73836096,66.63423611,181.9369835,403.3695782,25.39846238,113.0470437,264.9240721,289.5896549,36.67776688,171.719879,171.719879
5,5_17N,17N,2023,459.546239,45.35358833,48.514,365.6786507,287.3095806,38.73836096,66.63423611,181.9369835,403.3695782,25.39846238,264.9240721,264.9240721
6,6_17N,17N,2011,292.0167549,5.304631226,49.022,237.6901237,NA,NA,NA,NA,NA,NA,NA,NA
6,6_17N,17N,2012,205.8576034,82.12685565,18.288,105.4427477,292.0167549,5.304631226,49.022,237.6901237,NA,NA,NA,NA
